,TEAM_ABBREVIATION_h,OFF_RATING_h,DEF_RATING_h,NET_RATING_h,AST_PCT_h,AST_TOV_h,OREB_PCT_h,DREB_PCT_h,REB_PCT_h,TM_TOV_PCT_h,EFG_PCT_h,TS_PCT_h,PACE_h,POSS_h,HOME_TEAM_h,TEAM_ABBREVIATION_a,OFF_RATING_a,DEF_RATING_a,NET_RATING_a,AST_PCT_a,AST_TOV_a,OREB_PCT_a,DREB_PCT_a,REB_PCT_a,TM_TOV_PCT_a,EFG_PCT_a,TS_PCT_a,PACE_a,POSS_a,HOME_TEAM_a,ATL_h,BKN_h,BOS_h,CHA_h,CHI_h,CLE_h,DAL_h,DEN_h,DET_h,GSW_h,HOU_h,IND_h,LAC_h,LAL_h,MEM_h,MIA_h,MIL_h,MIN_h,NOP_h,NYK_h,OKC_h,ORL_h,PHI_h,PHX_h,POR_h,SAC_h,SAS_h,TOR_h,UTA_h,WAS_h,ATL_a,BKN_a,BOS_a,CHA_a,CHI_a,CLE_a,DAL_a,DEN_a,DET_a,GSW_a,HOU_a,IND_a,LAC_a,LAL_a,MEM_a,MIA_a,MIL_a,MIN_a,NOP_a,NYK_a,OKC_a,ORL_a,PHI_a,PHX_a,POR_a,SAC_a,SAS_a,TOR_a,UTA_a,WAS_a
10,IND,0.303425774877651,0.26647144948755486,0.5819581958195819,0.5368620037807184,0.0827966881324747,0.4519015659955258,0.44877049180327877,0.4085365853658538,0.6170212765957447,0.3915094339622641,0.4045801526717556,0.5614035087719298,0.36363636363636354,0.0,NYK,0.26647144948755486,0.303425774877651,0.4180418041804181,0.6410748560460655,0.1180461329715061,0.5512295081967213,0.546875,0.5914634146341464,0.47916666666666663,0.1271186440677965,0.1454005934718099,0.5614035087719298,0.38636363636363624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,PHI,0.1761827079934748,0.2079062957540263,0.5412541254125413,0.2570888468809074,0.07267709291628335,0.3064876957494408,0.586065573770492,0.25609756097561,0.4212765957446808,0.21698113207547165,0.2468193384223918,0.4912280701754388,0.3181818181818181,0.0,CHA,0.2079062957540263,0.1761827079934748,0.4587458745874588,0.4222648752399234,0.033921302578018994,0.4139344262295082,0.6919642857142858,0.7439024390243905,0.8250000000000001,0.4011299435028248,0.35905044510385764,0.4912280701754388,0.34090909090909083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,MIA,0.44208809135399685,0.2942898975109811,0.6534653465346534,0.614366729678639,0.09751609935602576,0.4519015659955258,0.5614754098360656,0.45121951219512213,0.5617021276595744,0.4764150943396225,0.5114503816793892,0.6140350877192984,0.40909090909090895,0.0,NOP,0.2942898975109811,0.44208809135399685,0.3465346534653466,0.6775431861804224,0.13161465400271372,0.43852459016393447,0.546875,0.5487804878048781,0.43333333333333335,0.14124293785310726,0.2373887240356083,0.6140350877192984,0.40909090909090917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,MIL,0.15986949429037534,0.4114202049780382,0.37623762376237624,0.3950850661625711,0.02115915363385465,0.5167785234899328,0.6311475409836066,0.46646341463414664,0.851063829787234,0.3089622641509434,0.32315521628498733,0.45614035087719307,0.29545454545454564,0.0,BKN,0.4114202049780382,0.15986949429037534,0.6237623762376238,0.7888675623800385,0.20352781546811394,0.3688524590163934,0.4821428571428572,0.5335365853658536,0.45833333333333337,0.5141242937853105,0.4480712166172105,0.45614035087719307,0.31818181818181834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,LAL,0.19412724306688411,0.36017569546120076,0.4378437843784378,0.6672967863894139,0.06163753449862007,0.1655480984340045,0.7520491803278689,0.44817073170731736,0.6595744680851063,0.3372641509433961,0.41730279898218825,0.9473684210526319,0.6136363636363635,0.0,MIN,0.36017569546120076,0.19412724306688411,0.5621562156215621,0.7178502879078694,0.24287652645861596,0.24795081967213112,0.8325892857142858,0.5518292682926829,0.27083333333333337,0.3163841807909604,0.34124629080118707,0.9473684210526319,0.6363636363636362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,PHX,0.16313213703099527,0.29575402635431924,0.4653465346534653,0.5992438563327034,0.020239190432382703,0.6040268456375839,0.5204918032786886,0.5365853658536588,0.948936170212766,0.23349056603773588,0.37150127226463114,0.6842105263157894,0.4545454545454548,0.0,SAC,0.29575402635431924,0.16313213703099527,0.5346534653465347,0.6410748560460655,0.05563093622795115,0.47950819672131134,0.3950892857142858,0.46341463414634165,0.7374999999999999,0.2994350282485876,0.2997032640949555,0.6842105263157894,0.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,LAC,0.2528548123980425,0.49194729136164006,0.3784378437843784,0.661625708884688,0.07083716651333946,0.2080536912751678,0.6086065573770493,0.2652439024390245,0.6765957446808509,0.4363207547169813,0.4910941475826971,0.8771929824561404,0.5681818181818181,0.0,DEN,0.49194729136164006,0.2528548123980425,0.6215621562156216,0.5047984644913628,0.0949796472184532,0.3913934426229508,0.7901785714285714,0.7347560975609759,0.6166666666666667,0.6073446327683616,0.6350148367952522,0.8771929824561404,0.5909090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,DET,0.23817292006525292,0.5373352855051245,0.3344334433443344,0.4253308128544422,0.05335786568537258,0.6040268456375839,0.44877049180327877,0.4207317073170733,0.6553191489361702,0.2429245283018867,0.24936386768447827,0.7719298245614037,0.5000000000000002,0.0,MEM,0.5373352855051245,0.23817292006525292,0.6655665566556657,0.32053742802303264,0.22659430122116686,0.5512295081967213,0.3950892857142858,0.5792682926829269,0.21666666666666665,0.30225988700564965,0.34124629080118707,0.7719298245614037,0.5227272727272729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,SAS,0.3181076672104406,0.506588579795022,0.4114411441144114,0.39886578449905485,0.05335786568537258,0.6756152125279642,0.7028688524590166,0.6463414634146343,0.6851063829787234,0.3089622641509434,0.35368956743002555,0.6140350877192984,0.40909090909090895,0.0,OKC,0.506588579795022,0.3181076672104406,0.5885588558855885,0.5124760076775432,0.18588873812754408,0.2971311475409836,0.3236607142857144,0.35365853658536595,0.3125,0.3954802259887007,0.48071216617210677,0.6140350877192984,0.40909090909090917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,IND,0.47471451876019577,0.6486090775988289,0.4103410341034103,0.6427221172022684,0.2382704691812328,0.5257270693512304,0.3627049180327869,0.25914634146341475,0.3063829787234042,0.33490566037735847,0.3435114503816794,0.4035087719298245,0.2500000000000002,0.0,HOU,0.6486090775988289,0.47471451876019577,0.5896589658965897,0.27447216890595005,0.056987788331071904,0.6372950819672131,0.4732142857142856,0.7408536585365857,0.6333333333333333,0.5734463276836157,0.6261127596439169,0.4035087719298245,0.2954545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
